A	Coef.BasalvsLP	Coef.BasalvsML	Coef.LPvsML	t.BasalvsLP	t.BasalvsML	t.LPvsML	p.value.BasalvsLP	p.value.BasalvsML	p.value.LPvsML	Res.BasalvsLP	Res.BasalvsML	Res.LPvsML	Genes.ENTREZID	Genes.SYMBOL	Genes.TXCHROM
5.96	-0.638	-1.929	-1.291	0	-5.5	-1.84	0.96733	0.00029	0.05166	0	-1	0	226971	Plekhb2	chr1
7.3	-0.273	0.742	1.015	0	0	0.09	0.99756	0.89569	0.46608	0	0	0	50785	Hs6st1	chr1
7.39	0.367	-0.159	-0.526	0	0	0	0.99965	0.99995	0.99872	0	0	0	320011	Uggt1	chr1
0.25	1.309	1.059	-0.25	0.74	0.15	0	0.24059	0.44306	0.95226	0	0	0	214854	Neurl3	chr1
7.91	1.459	0.873	-0.586	2.47	0	0	0.01934	0.74123	0.98052	0	0	0	214855	Arid5a	chr1
6.73	-0.435	-0.201	0.235	0	0	0	0.99819	0.9998	0.99983	0	0	0	226976	Kansl3	chr1
4.86	-0.678	-1.375	-0.697	0	-3.24	0	0.98685	0.00598	0.98787	0	-1	0	214895	Lman2l	chr1
5.49	0.267	0.744	0.477	0	0	0	0.99885	0.91697	0.99439	0	0	0	94220	Cnnm4	chr1
4.11	-0.758	-0.97	-0.212	0	0	0	0.86972	0.55909	0.9987	0	0	0	94218	Cnnm3	chr1
2.68	-0.165	-0.818	-0.653	0	0	0	0.99717	0.78754	0.92878	0	0	0	78321	Ankrd23	chr1
2.67	0.075	-0.691	-0.766	0	0	0	0.99986	0.96278	0.92036	0	0	0	109346	Ankrd39	chr1
7.87	-0.186	-1.324	-1.138	0	-1.64	-0.76	0.99865	0.06955	0.23534	0	0	0	20353	Sema4c	chr1
0.78	0.224	-0.784	-1.008	0	0	-0.03	0.9871	0.78129	0.48822	0	0	0	381337	Fam178b	chr1
3.58	0.293	-0.222	-0.515	0	0	0	0.99818	0.99925	0.99006	0	0	0	12859	Cox5b	chr1
6.67	0.454	0.294	-0.16	0	0	0	0.99941	0.99989	0.99998	0	0	0	226977	Actr1b	chr1
6.99	0.453	0.399	-0.053	0	0	0	0.99929	0.9996	0.99999	0	0	0	56030	Tmem131	chr1
4.8	0.585	1.095	0.511	0	0.58	0	0.98267	0.28903	0.99212	0	0	0	269180	Inpp4a	chr1
6.25	-0.817	-1.083	-0.265	0	-0.56	0	0.87259	0.29679	0.99963	0	0	0	76178	Coa5	chr1
4.54	-0.295	-0.651	-0.356	0	0	0	0.99955	0.98408	0.99946	0	0	0	67387	Unc50	chr1
6.14	-2.391	-0.391	2	-8.22	0	6.28	2e-05	0.99649	0.00012	-1	0	1	269181	Mgat4a	chr1
2.66	0.081	0.379	0.298	0	0	0	0.99944	0.99287	0.99624	0	0	0	77633	4930594C11Rik	chr1
3.63	-5.671	-4.955	0.716	-17.41	-14.71	0	0	0	0.93497	-1	-1	0	72097	2010300C02Rik	chr1
1.13	-1.183	-1.084	0.099	-0.75	-0.35	0	0.2375	0.36796	0.99877	0	0	0	211484	Tsga10	chr1
0.94	-0.484	-0.471	0.012	0	0	0	0.95681	0.96231	0.99972	0	0	0	623661	Lipt1	chr1
2.78	0.987	0.554	-0.433	0	0	0	0.52783	0.98659	0.99455	0	0	0	69028	Mitd1	chr1
4.43	0.638	0.145	-0.494	0	0	0	0.98757	0.99994	0.99807	0	0	0	107734	Mrpl30	chr1
5.73	-0.754	-0.429	0.325	0	0	0	0.95327	0.99887	0.99973	0	0	0	98258	Txndc9	chr1
7.53	-0.475	0.163	0.639	0	0	0	0.9759	0.99749	0.93998	0	0	0	226982	Eif5b	chr1
4.47	-0.084	0.329	0.413	0	0	0	0.99831	0.9879	0.98139	0	0	0	56210	Rev1	chr1
1.01	3.465	4.801	1.336	5.92	8.37	0.68	0.00018	2e-05	0.25815	1	1	0	16764	Aff3	chr1
-0.25	0.257	0.992	0.736	0	0	0	0.96146	0.50795	0.73762	0	0	0	98388	Chst10	chr1
5.93	0.475	0.208	-0.267	0	0	0	0.99851	0.9999	0.99988	0	0	0	68833	Pdcl3	chr1
2.42	-5.057	-3.874	1.184	-17.57	-12.29	1.19	0	0	0.13417	-1	-1	0	18143	Npas2	chr1
3.37	-0.043	-0.049	-0.006	0	0	0	0.99996	0.99996	1	0	0	0	114641	Rpl31	chr1
5.51	-2.151	-1.952	0.199	-9.73	-8.05	0	1e-05	2e-05	0.99997	-1	-1	0	54610	Tbc1d8	chr1
4.61	1.064	1.031	-0.033	0.47	0.23	0	0.32609	0.41121	0.99998	0	0	0	52846	Cnot11	chr1
-0.5	0.506	1.949	1.443	0	2.13	0.98	0.86998	0.03296	0.17922	0	0	0	100217461	Snord89	chr1
6.8	0.475	1.273	0.798	0	1.32	0	0.98248	0.11247	0.83957	0	0	0	67702	Rnf149	chr1
-2.91	4.667	6.543	1.876	6.41	9.28	1.32	0.00011	1e-05	0.11321	1	1	0	263764	Creg2	chr1
7.91	0.247	0.761	0.514	0	0	0	0.99923	0.9122	0.99467	0	0	0	26921	Map4k4	chr1
-0.33	-0.99	0.168	1.158	0	0	0.22	0.51985	0.92857	0.42478	0	0	0	16178	Il1r2	chr1
4.84	-1.726	-2.035	-0.309	-3.36	-4.85	0	0.00497	0.00065	0.99652	-1	-1	0	16177	Il1r1	chr1
3.17	0.882	0.979	0.097	0	0	0	0.78843	0.55997	0.99992	0	0	0	107527	Il1rl2	chr1
0.11	1.305	2.265	0.961	0.57	2.29	0	0.29486	0.02603	0.53109	0	0	0	17082	Il1rl1	chr1
3.77	-3.192	-3.991	-0.798	-8.96	-12.45	0	1e-05	0	0.84549	-1	-1	0	16182	Il18r1	chr1
-0.19	-3.107	-2.7	0.406	-4.23	-3.42	0	0.00147	0.00461	0.92074	-1	-1	0	16174	Il18rap	chr1
-1.06	-3.75	-1.374	2.376	-5.38	-0.66	3	0.00034	0.26417	0.00863	-1	0	0	110895	Slc9a4	chr1
0.93	-2.767	-1.135	1.632	-6.33	-0.45	2.53	0.00012	0.33119	0.01783	-1	0	0	226999	Slc9a2	chr1
1.34	-0.903	-0.78	0.122	0	0	0	0.63054	0.77241	0.99621	0	0	0	211798	Mfsd9	chr1
4.78	-0.009	-0.202	-0.193	0	0	0	1	0.99992	0.99994	0	0	0	69527	Mrps9	chr1
5.05	-0.462	-0.46	0.002	0	0	0	0.99554	0.9958	1	0	0	0	73122	Tgfbrap1	chr1
3.89	0.605	-0.109	-0.714	0	0	0	0.94508	0.99903	0.89453	0	0	0	98404	AI597479	chr1
5.53	1.563	1.906	0.343	1.63	2.62	0	0.07125	0.01547	0.96112	0	0	0	14200	Fhl2	chr1
4	0.297	0.042	-0.256	0	0	0	0.99929	0.99997	0.99961	0	0	0	666642	Gm8210	NA
7.28	-0.556	-2.041	-1.485	0	-6.9	-3.46	0.99151	6e-05	0.00435	0	-1	0	17974	Nck2	chr1
3.11	5.45	6.464	1.014	23.58	26.6	0.07	0	0	0.47446	1	1	0	78896	1500015O10Rik	chr1
3.53	-0.157	-1.11	-0.953	0	-0.7	0	0.99954	0.25272	0.61611	0	0	0	67883	Uxs1	chr1
5.08	-0.393	-0.448	-0.055	0	0	0	0.99964	0.99938	0.99999	0	0	0	100503192	Gm19587	NA
6.96	-0.013	0.368	0.381	0	0	0	0.99981	0.98743	0.99022	0	0	0	22019	Tpp2	chr1
3.95	-0.043	0.386	0.429	0	0	0	0.99985	0.99531	0.994	0	0	0	75623	Tex30	chr1
4.38	2.408	2.022	-0.386	9.19	7	0	1e-05	6e-05	0.99809	1	1	0	72050	Kdelc1	chr1
3.05	0.188	-0.331	-0.519	0	0	0	0.99284	0.98502	0.95149	0	0	0	246229	Bivm	chr1
4.66	0.605	0.889	0.284	0	0	0	0.99432	0.80762	0.99985	0	0	0	22592	Ercc5	chr1
3.57	1.736	2.889	1.153	2.67	6.33	0.51	0.01418	0.00012	0.31295	0	1	0	70676	Gulp1	chr1
7.5	-0.132	1.085	1.217	0	0.1	0.29	0.94173	0.47768	0.40016	0	0	0	12825	Col3a1	chr1
5.34	3.327	4.864	1.536	3.34	5.28	0.76	0.00527	4e-04	0.23713	1	1	0	12832	Col5a2	chr1
5.43	0.64	0.654	0.014	0	0	0	0.95084	0.9462	0.99994	0	0	0	73674	Wdr75	chr1
5.55	1.249	1.231	-0.018	1.89	1.77	0	0.04773	0.0575	0.99999	0	0	0	433297	Gm5526	NA
2.26	-0.779	-1.67	-0.89	0	-2.96	0	0.80828	0.00909	0.68936	0	-1	0	53945	Slc40a1	chr1
1.08	3.705	2.223	-1.482	4.99	2.8	-0.88	0.00055	0.01162	0.20446	1	0	0	227058	Dnah7b	chr1
5.52	2.861	2.218	-0.642	8.53	5.81	0	1e-05	2e-04	0.93804	1	1	0	227059	Slc39a10	chr1
0.55	1.369	3.386	2.017	0.7	3.78	1.58	0.25241	0.00277	0.07676	0	1	0	56363	Tmeff2	chr1
5.4	3.508	3.383	-0.124	10.8	10.49	0	0	0	0.99822	1	1	0	20324	Sdpr	chr1
7.46	-1.836	-1.353	0.483	-3.63	-1.53	0	0.00339	0.08202	0.97792	-1	0	0	109019	Nabp1	chr1
6.52	-0.077	-0.678	-0.601	0	0	0	0.99991	0.96829	0.98945	0	0	0	17912	Myo1b	chr1
-0.8	-0.326	-1.853	-1.526	0	-2.1	-1.33	0.92554	0.0347	0.11006	0	0	0	20849	Stat4	chr1
5.44	-0.378	-0.885	-0.507	0	0	0	0.99885	0.78364	0.99711	0	0	0	20846	Stat1	chr1
7.83	0.407	0.935	0.529	0	0	0	0.99614	0.64512	0.99253	0	0	0	14660	Gls	chr1
7.18	-1.548	-0.722	0.826	-2.7	0	0	0.01358	0.89749	0.80803	0	0	0	17936	Nab1	chr1
2.85	-0.12	-0.627	-0.508	0	0	0	0.99949	0.96849	0.98994	0	0	0	227094	Nemp2	chr1
6.58	-2	-1.158	0.842	-7.39	-1.17	0	4e-05	0.13724	0.87688	-1	0	0	98682	Mfsd6	chr1
3.81	-0.164	0.562	0.726	0	0	0	0.99971	0.98777	0.94388	0	0	0	16329	Inpp1	chr1
4.2	0.446	0.178	-0.267	0	0	0	0.99874	0.99992	0.99983	0	0	0	227095	Hibch	chr1
-0.05	4.022	5.221	1.199	9.04	11.37	0.49	1e-05	0	0.31794	1	1	0	67080	1700019D03Rik	chr1
2.44	-0.008	-0.257	-0.248	0	0	0	0.99998	0.99927	0.99935	0	0	0	227099	Pms1	chr1
3.28	-0.701	-1.765	-1.064	0	-2.89	-0.26	0.84087	0.01017	0.40183	0	-1	0	227102	Ormdl1	chr1
2.26	1.06	0.46	-0.6	0.34	0	0	0.37004	0.99462	0.97512	0	0	0	72085	Osgepl1	chr1
4.71	-0.401	-0.405	-0.005	0	0	0	0.99899	0.999	1	0	0	0	70396	Asnsd1	chr1
4.47	0.811	0.617	-0.194	0	0	0	0.90197	0.9905	0.99988	0	0	0	98267	Stk17b	chr1
0.34	1.245	2.675	1.43	0.58	3.62	0.9	0.29086	0.00346	0.1966	0	1	0	329152	Hecw2	chr1
3.88	0.243	-0.217	-0.46	0	0	0	0.99983	0.9999	0.99889	0	0	0	98488	Gtf3c3	chr1
4.47	-0.134	-0.53	-0.396	0	0	0	0.99985	0.99477	0.99888	0	0	0	241062	Pgap1	chr1
4.61	1.796	1.408	-0.388	4.16	2.23	0	0.00159	0.02839	0.99427	1	0	0	329154	Ankrd44	chr1
9.66	-0.384	0.172	0.556	0	0	0	0.99728	0.99957	0.99111	0	0	0	81898	Sf3b1	chr1
7.73	-0.71	0.221	0.931	0	0	0	0.96472	0.99976	0.69732	0	0	0	67876	Coq10b	chr1
7.2	0.596	0.656	0.06	0	0	0	0.99273	0.98515	0.99999	0	0	0	15510	Hspd1	chr1
5.29	1.123	0.783	-0.341	0.91	0	0	0.19565	0.92909	0.99955	0	0	0	15528	Hspe1	chr1
5.89	-0.11	-0.286	-0.176	0	0	0	0.9998	0.99905	0.99975	0	0	0	19070	Mob4	chr1
3.81	-1.597	-0.291	1.306	-1.97	0	1.05	0.04256	0.97354	0.1623	0	0	0	74013	Rftn2	chr1
3.29	-0.018	0.601	0.62	0	0	0	0.99926	0.89727	0.89147	0	0	0	212679	Mars2	chr1
3.61	1.847	4.474	2.626	3.29	10.97	5.2	0.00558	0	0.00042	1	1	1	227120	Plcl1	chr1
1.99	1.905	0.891	-1.015	3.82	0	-0.06	0.00257	0.69403	0.47601	1	0	0	626009	Gm6644	NA
1.2	0.762	1.588	0.826	0	2.37	0	0.82676	0.02281	0.74383	0	0	0	73467	1700066M21Rik	chr1
3.03	-0.104	-0.016	0.088	0	0	0	0.99851	0.99981	0.99898	0	0	0	68736	Tyw5	chr1
4.1	-0.268	-0.154	0.115	0	0	0	0.9998	0.99994	0.99997	0	0	0	68115	Maip1	chr1
4.23	2.687	1.376	-1.311	8.38	2.08	-1.58	2e-05	0.03547	0.07645	1	0	0	67198	Spats2l	chr1
3.04	0.225	-0.352	-0.577	0	0	0	0.9979	0.99575	0.97269	0	0	0	51960	Kctd18	chr1
1.52	1.937	2.442	0.504	4.44	6.71	0	0.0011	8e-05	0.96817	1	1	0	68549	Sgol2a	chr1
3.46	1.633	0.145	-1.488	2.12	0	-1.7	0.03342	0.99535	0.06437	0	0	0	11761	Aox1	chr1
8.2	-0.003	0.226	0.229	0	0	0	0.99999	0.9992	0.99953	0	0	0	66882	Bzw1	chr1
8.07	-0.251	0.117	0.368	0	0	0	0.99717	0.9991	0.99537	0	0	0	12747	Clk1	chr1
3.39	0.424	0.259	-0.165	0	0	0	0.99467	0.99889	0.99947	0	0	0	70225	Ppil3	chr1
3.5	0.329	-0.15	-0.478	0	0	0	0.99839	0.99975	0.99497	0	0	0	65102	Nif3l1	chr1
4.53	0.824	0.547	-0.277	0	0	0	0.90865	0.99761	0.99987	0	0	0	18393	Orc2	chr1
4.27	-1.513	-1.019	0.494	-2.21	-0.08	0	0.02904	0.46782	0.9777	0	0	0	213056	Fam126b	chr1
4.41	0.242	-0.387	-0.629	0	0	0	0.9992	0.99772	0.97863	0	0	0	66495	Ndufb3	chr1
0.54	0.03	0.393	0.362	0	0	0	0.99857	0.96396	0.97026	0	0	0	100504501	Gm20257	chr1
6.36	0.272	0.274	0.002	0	0	0	0.99766	0.99764	0.99999	0	0	0	12633	Cflar	chr1
4.88	-0.007	-0.721	-0.713	0	0	0	0.99999	0.94989	0.95798	0	0	0	12370	Casp8	chr1
6.75	0.594	0.857	0.263	0	0	0	0.99254	0.84663	0.99985	0	0	0	70827	Trak2	chr1
2.27	1.274	0.742	-0.532	1.58	0	0	0.07602	0.92707	0.98684	0	0	0	227154	Stradb	chr1
3.26	1.71	1.456	-0.254	4.07	2.73	0	0.00182	0.01289	0.99856	1	0	0	381259	Tmem237	chr1
5.48	0.699	0.854	0.155	0	0	0	0.96643	0.83381	0.99989	0	0	0	74018	Als2	chr1
5.95	2.455	2.923	0.468	4.89	6.45	0	0.00061	1e-04	0.95414	1	1	0	14369	Fzd7	chr1
5.34	-0.21	-0.184	0.025	0	0	0	0.99991	0.99993	1	0	0	0	22218	Sumo1	chr1
7.99	1.574	1.608	0.034	2.77	2.93	0	0.01214	0.00955	0.99985	0	1	0	55989	Nop58	chr1
6.26	0.49	0.555	0.065	0	0	0	0.97033	0.95426	0.99929	0	0	0	12168	Bmpr2	chr1
2.21	1.021	0.74	-0.281	0.07	0	0	0.47292	0.80778	0.98022	0	0	0	100504533	NA	NA
5.38	0.112	0.832	0.721	0	0	0	0.9999	0.86056	0.96131	0	0	0	72750	Fam117b	chr1
-0.39	1.105	2.123	1.018	0.35	3.57	0.06	0.36812	0.00367	0.47859	0	1	0	70375	Ica1l	chr1
3.44	0.765	0.865	0.1	0	0	0	0.89993	0.78096	0.99974	0	0	0	57750	Wdr12	chr1
1.91	0.039	0.38	0.341	0	0	0	0.99946	0.98714	0.99053	0	0	0	241066	Carf	chr1
0.02	0.109	-0.202	-0.312	0	0	0	0.99429	0.99001	0.97919	0	0	0	100504573	Gm15464	NA
6.11	-0.004	-0.071	-0.068	0	0	0	0.99992	0.99843	0.99893	0	0	0	269198	Nbeal1	chr1
4.15	-0.825	-0.809	0.016	0	0	0	0.85301	0.87502	0.99999	0	0	0	77951	Cyp20a1	chr1
5.02	1.132	1.082	-0.05	1	0.63	0	0.1726	0.27321	0.99998	0	0	0	329165	Abi2	chr1
5.98	-0.775	0.503	1.278	0	0	1.67	0.88139	0.9883	0.0667	0	0	0	77300	Raph1	chr1
4.01	-0.026	0.872	0.899	0	0	0	0.99968	0.70191	0.66799	0	0	0	72823	Pard3b	chr1
3.11	3.269	3.195	-0.074	5.42	5.45	0	0.00032	0.00031	0.98573	1	1	0	18187	Nrp2	chr1
6.95	-0.907	-0.253	0.655	0	0	0	0.69276	0.9986	0.96552	0	0	0	227195	Ino80d	chr1
0.72	-0.179	0.24	0.419	0	0	0	0.99088	0.9863	0.96263	0	0	0	100380944	Ino80dos	chr1
5.98	0.732	0.195	-0.537	0	0	0	0.96595	0.9999	0.9977	0	0	0	227197	Ndufs1	chr1
9.5	-0.303	-0.177	0.126	0	0	0	0.9997	0.99991	0.99997	0	0	0	55949	Eef1b2	chr1
0.5	-0.096	0.76	0.856	0	0	0	0.99784	0.81012	0.707	0	0	0	100217464	Snora41	chr1
2.54	0.889	1.03	0.141	0	0.08	0	0.61055	0.46904	0.9802	0	0	0	73884	Zdbf2	chr1
0.58	0.491	2.429	1.938	0	1.91	1.25	0.79374	0.04724	0.12631	0	0	0	23792	Adam23	chr1
4.68	-0.002	0.082	0.084	0	0	0	1	0.99997	0.99997	0	0	0	75619	Fastkd2	chr1
4.15	-1.595	0.236	1.831	-1.81	0	2.59	0.05367	0.97385	0.01618	0	0	0	93691	Klf7	chr1
6.05	-0.191	-0.096	0.095	0	0	0	0.99958	0.99984	0.9999	0	0	0	12912	Creb1	chr1
2.71	1.128	0.076	-1.052	0.52	0	-0.22	0.30937	0.99904	0.41657	0	0	0	67099	Mettl21a	chr1
0.17	0.501	0.813	0.312	0	0	0	0.90558	0.69821	0.95852	0	0	0	69941	2810408I11Rik	chr1
4.34	1.032	1.463	0.431	0.17	2.41	0	0.43636	0.02127	0.99079	0	0	0	227210	Ccnyl1	chr1
6.01	-0.134	0.769	0.902	0	0	0	0.99523	0.79034	0.64484	0	0	0	14367	Fzd5	chr1
4.24	1.285	0.843	-0.442	1.91	0	0	0.04668	0.84749	0.9974	0	0	0	241075	Plekhm3	chr1
-0.12	0.185	0.607	0.422	0	0	0	0.99172	0.9005	0.96363	0	0	0	667276	Gm8550	NA
5.12	0.103	0.484	0.381	0	0	0	0.99993	0.99733	0.99926	0	0	0	15926	Idh1	chr1
5.26	-0.082	0.008	0.09	0	0	0	0.99911	0.99992	0.99926	0	0	0	18711	Pikfyve	chr1
7.07	-0.476	1.46	1.936	0	2.14	4.69	0.97899	0.03265	0.00079	0	0	1	17756	Map2	chr1
2.39	-2.242	0.25	2.491	-5.32	0	6.27	0.00036	0.98981	0.00012	-1	0	1	329178	Unc80	chr1
5.09	-0.259	-0.359	-0.1	0	0	0	0.99986	0.99966	0.99998	0	0	0	66646	Rpe	chr1
5.53	0.639	1.921	1.282	0	4.3	1.38	0.93919	0.00132	0.10195	0	1	0	68691	Kansl1l	chr1
7.03	0.183	0.66	0.477	0	0	0	0.99977	0.97675	0.99784	0	0	0	11363	Acadl	chr1
5.36	1.04	0.622	-0.418	0.35	0	0	0.36761	0.99532	0.99968	0	0	0	14768	Lancl1	chr1
1.74	-5.468	-4.298	1.17	-9.15	-6.67	0.56	1e-05	8e-05	0.29703	-1	-1	0	13869	Erbb4	chr1
